Player, PR, Luck, Score, Player, PR, Luck, Score
Moriarty,0,0,0,Idan1986,0,0,0
bardak65,0,0,0,Nissimb,0,0,0
Tezka11,0,0,0,UziMutsafy,0,0,0
GuyEliyahu,0,0,0,Avshalom,0,0,0
MarcelDana,0,0,0,YossiEliezer23,0,0,0
ys,0,0,0,GS18671,0,0,0
Yannay,0,0,0,sagivquina,0,0,0
Ran1976,0,0,0,Yaniv162,0,0,0
OvedBenZeev,0,0,0,Avi,0,0,0
Danny_kondrea,0,0,0,fridlich,0,0,0
Hummus,0,0,0,rina,0,0,0
ilanblum,11.44,-0.16,5,Izhako,16.68,3.16,7
Motitaly,0,0,7,Bye,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Moriarty,0,0,0,bardak65,0,0,0
Tezka11,0,0,0,Idan1986,0,0,0
GuyEliyahu,0,0,0,Nissimb,0,0,0
MarcelDana,0,0,0,UziMutsafy,0,0,0
ys,0,0,0,Avshalom,0,0,0
Yannay,0,0,0,YossiEliezer23,0,0,0
Ran1976,0,0,0,GS18671,0,0,0
OvedBenZeev,0,0,0,sagivquina,0,0,0
Danny_kondrea,0,0,0,Yaniv162,0,0,0
Hummus,0,0,0,Avi,0,0,0
ilanblum,0,0,0,fridlich,0,0,0
Motitaly,0,0,0,rina,0,0,0
Bye,0,0,7,Izhako,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Moriarty,0,0,0,Tezka11,0,0,0
GuyEliyahu,0,0,0,bardak65,0,0,0
MarcelDana,0,0,0,Idan1986,0,0,0
ys,0,0,0,Nissimb,0,0,0
Yannay,0,0,0,UziMutsafy,0,0,0
Ran1976,0,0,0,Avshalom,0,0,0
OvedBenZeev,0,0,0,YossiEliezer23,0,0,0
Danny_kondrea,0,0,0,GS18671,0,0,0
Hummus,0,0,0,sagivquina,0,0,0
ilanblum,8,0.1,7,Yaniv162,15.83,-2.06,4
Motitaly,0,0,0,Avi,0,0,0
Bye,0,0,7,fridlich,0,0,0
Izhako,0,0,0,rina,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Moriarty,0,0,0,GuyEliyahu,0,0,0
MarcelDana,0,0,0,Tezka11,0,0,0
ys,0,0,0,bardak65,0,0,0
